id_department,department_name,terrain_area,old_antenna,new_antenna_type
27,Santander,1742000,10,d
5,Bolivar,1660800,26,d
16,Guaviare,1693600,29,e
29,Tolima,1435800,9,b
4,Atlantico,1530000,14,a
20,Meta,1979600,10,b
32,Vichada,1998000,10,e
32,Vichada,1356400,11,c
31,Vaupes,552800,28,d
5,Bolivar,1259400,18,b
13,Cordoba,32600,10,a
28,Sucre,1934800,26,a
30,Valle del Cauca,747600,12,c
17,Huila,475600,30,c
4,Atlantico,341200,15,b
22,Norte de Santander,244600,14,e
31,Vaupes,564600,1,c
16,Guaviare,1515800,20,a
9,Casanare,879400,8,a
23,Putumayo,1400000,19,d
32,Vichada,839400,8,d
2,Antioquia,1151600,8,d
13,Cordoba,956000,0,a
15,Guainia,658600,15,e
3,Arauca,541800,12,e
15,Guainia,1855000,11,b
1,Amazonas,632400,1,e
14,Cundinamarca,1552000,14,d
18,La Guajira,1800,22,d
32,Vichada,1021800,8,e
5,Bolivar,114800,25,c
1,Amazonas,196000,17,b
12,Choco,441800,12,c
19,Magdalena,1029600,3,d
4,Atlantico,1681400,10,a
7,Caldas,517600,27,a
18,La Guajira,1286000,19,c
6,Boyaca,1721800,20,a
15,Guainia,458000,6,a
9,Casanare,1685800,16,a
30,Valle del Cauca,400,25,e
17,Huila,545600,23,d
21,Narino,1027000,6,b
9,Casanare,326400,1,d
11,Cesar,631000,17,e
6,Boyaca,849200,13,e
13,Cordoba,439800,1,a
16,Guaviare,598600,2,c
10,Cauca,92600,29,a
6,Boyaca,821000,7,d
13,Cordoba,812200,4,d
16,Guaviare,1026400,22,a
29,Tolima,987200,5,d
2,Antioquia,1208000,3,e
26,San Andres y Providencia,203600,28,d
3,Arauca,347400,22,c
15,Guainia,1227400,21,d
21,Narino,1543800,3,e
26,San Andres y Providencia,1168800,26,c
24,Quindio,1667600,4,b
6,Boyaca,258600,6,e
3,Arauca,1581200,16,a
5,Bolivar,1560200,5,c
4,Atlantico,609000,14,d
14,Cundinamarca,1904000,11,a
5,Bolivar,1336800,28,e
12,Choco,571600,16,b
26,San Andres y Providencia,1835600,1,d
10,Cauca,1100600,29,a
26,San Andres y Providencia,677000,4,d
8,Caqueta,1269800,28,e
18,La Guajira,172000,26,b
29,Tolima,874000,20,d
30,Valle del Cauca,1252400,8,c
13,Cordoba,494400,23,c
8,Caqueta,1940000,8,d
7,Caldas,1096000,20,d
32,Vichada,1629000,30,d
6,Boyaca,1565400,5,c
11,Cesar,1198000,28,a
7,Caldas,972600,28,c
26,San Andres y Providencia,1295200,9,b
9,Casanare,1510000,14,c
32,Vichada,1494200,17,e
29,Tolima,1272400,8,e
8,Caqueta,1750200,23,d
9,Casanare,1249400,12,b
30,Valle del Cauca,894400,20,e
13,Cordoba,190200,10,a
19,Magdalena,802000,13,a
10,Cauca,597000,23,b
18,La Guajira,396000,9,e
31,Vaupes,1446200,21,e
23,Putumayo,1488400,18,a
22,Norte de Santander,1502400,10,d
13,Cordoba,755400,27,b
22,Norte de Santander,1039600,27,a
15,Guainia,119200,30,e
28,Sucre,1148400,8,b
16,Guaviare,1834400,14,a
12,Choco,488000,5,a
24,Quindio,1768600,5,e
2,Antioquia,467800,11,a
25,Risaralda,194400,24,c
6,Boyaca,854200,26,c
7,Caldas,870400,18,e
7,Caldas,1767600,14,e
4,Atlantico,1897600,30,e
16,Guaviare,1517800,6,d
16,Guaviare,1035000,28,a
13,Cordoba,1975000,21,a
10,Cauca,256000,4,b
13,Cordoba,834000,15,a
19,Magdalena,463400,19,d
8,Caqueta,1798000,29,c
16,Guaviare,1546400,0,c
12,Choco,959800,14,c
18,La Guajira,1220600,24,b
27,Santander,1063200,5,a
7,Caldas,92800,28,e
1,Amazonas,1973800,24,c
21,Narino,1753200,1,a
10,Cauca,437600,18,a
9,Casanare,1354200,11,e
15,Guainia,327400,18,b
25,Risaralda,396000,10,b
27,Santander,935800,11,c
15,Guainia,1374600,0,a
17,Huila,459000,30,c
1,Amazonas,1949600,29,e
15,Guainia,230600,19,d
1,Amazonas,1533600,26,c
22,Norte de Santander,1282000,1,b
28,Sucre,1188600,29,c
29,Tolima,205000,21,e
26,San Andres y Providencia,1556400,15,c
30,Valle del Cauca,1559000,18,d
17,Huila,234000,14,c
18,La Guajira,784600,1,a
28,Sucre,150200,26,c
11,Cesar,1518800,5,d
27,Santander,1353600,21,d
20,Meta,1791000,28,b
28,Sucre,1478600,0,e
17,Huila,1298800,29,d
25,Risaralda,104000,17,d
7,Caldas,92400,21,a
15,Guainia,629600,2,a
4,Atlantico,1724200,29,d
29,Tolima,1661600,16,b
5,Bolivar,1733800,27,c
24,Quindio,1252800,23,a
2,Antioquia,624800,21,c
7,Caldas,1909200,28,b
13,Cordoba,1234200,20,c
30,Valle del Cauca,1172400,7,c
25,Risaralda,580600,20,b
14,Cundinamarca,1578000,12,c
17,Huila,765200,27,a
25,Risaralda,1806600,12,d
22,Norte de Santander,1390200,0,a
27,Santander,770000,9,b
29,Tolima,382200,1,a
7,Caldas,1874000,16,a
27,Santander,345200,27,c
10,Cauca,163000,10,a
2,Antioquia,1424200,24,c
4,Atlantico,373600,16,e
26,San Andres y Providencia,416600,22,d
16,Guaviare,808000,11,d
7,Caldas,1960000,8,a
18,La Guajira,1200800,27,b
2,Antioquia,1672800,0,c
26,San Andres y Providencia,1807800,8,c
10,Cauca,195400,20,a
17,Huila,1007000,15,d
17,Huila,457200,23,a
16,Guaviare,27000,22,a
20,Meta,716400,16,d
3,Arauca,1659400,21,a
15,Guainia,310000,8,b
22,Norte de Santander,624000,2,e
28,Sucre,1741800,25,d
8,Caqueta,915200,20,e
6,Boyaca,1685000,2,b
22,Norte de Santander,1366800,20,d
24,Quindio,413000,27,e
5,Bolivar,433000,27,c
9,Casanare,1171200,10,b
31,Vaupes,634400,24,e
8,Caqueta,850400,24,c
17,Huila,267400,9,d
15,Guainia,514600,12,d
28,Sucre,825200,28,e
20,Meta,1057600,26,c
10,Cauca,1498800,12,e
16,Guaviare,1133200,29,d
26,San Andres y Providencia,831400,8,b
3,Arauca,1474600,23,b
12,Choco,1646600,2,b
12,Choco,126400,6,a
19,Magdalena,221200,24,a
15,Guainia,765000,9,d
17,Huila,1609200,9,a
29,Tolima,152400,4,d
1,Amazonas,1689400,27,d
17,Huila,45800,15,a
18,La Guajira,1639800,14,e
19,Magdalena,1167200,4,c
3,Arauca,1262600,29,e
28,Sucre,1764800,10,a
10,Cauca,170800,9,b
28,Sucre,208600,4,b
31,Vaupes,1723000,22,a
22,Norte de Santander,894600,21,d
28,Sucre,9800,18,d
18,La Guajira,1272800,5,b
9,Casanare,62400,25,c
28,Sucre,434400,29,a
12,Choco,1086800,19,c
13,Cordoba,1940200,0,c
13,Cordoba,1484800,14,d
4,Atlantico,1151200,21,a
22,Norte de Santander,1880600,0,e
18,La Guajira,664000,8,b
27,Santander,627800,1,c
21,Narino,1276200,24,b
13,Cordoba,1799800,8,e
18,La Guajira,856800,24,e
2,Antioquia,1681400,13,a
30,Valle del Cauca,965000,12,d
25,Risaralda,523800,3,c
23,Putumayo,1048600,24,c
1,Amazonas,1083800,20,d
30,Valle del Cauca,1778600,6,e
24,Quindio,1823000,7,b
19,Magdalena,1231000,27,a
21,Narino,1245600,21,c
13,Cordoba,1288200,6,c
31,Vaupes,419400,17,d
6,Boyaca,679000,12,c
21,Narino,1378200,22,e
17,Huila,1577000,9,a
10,Cauca,527400,2,e
24,Quindio,1749800,8,c
32,Vichada,203000,20,e
14,Cundinamarca,1278000,9,a
29,Tolima,512400,16,a
19,Magdalena,1191600,29,d
18,La Guajira,572600,4,a
22,Norte de Santander,292400,19,d
32,Vichada,333200,6,a
16,Guaviare,1945200,27,b
7,Caldas,1815400,29,c
8,Caqueta,1823600,29,b
11,Cesar,1462600,0,e
3,Arauca,1551400,2,d
32,Vichada,1212000,5,b
10,Cauca,200600,0,e
25,Risaralda,756400,23,b
3,Arauca,1724000,22,e
8,Caqueta,1417600,1,b
30,Valle del Cauca,344000,23,b
5,Bolivar,310400,26,e
18,La Guajira,1007200,22,b
4,Atlantico,1121800,9,d
23,Putumayo,183000,30,a
2,Antioquia,817200,28,d
32,Vichada,460600,22,b
19,Magdalena,1255800,13,b
22,Norte de Santander,877200,8,c
13,Cordoba,1604800,29,a
29,Tolima,207000,26,b
16,Guaviare,259600,23,b
16,Guaviare,274400,1,b
32,Vichada,384600,11,b
22,Norte de Santander,1438200,0,c
30,Valle del Cauca,801000,7,e
22,Norte de Santander,1935400,15,b
28,Sucre,1009400,10,a
29,Tolima,1519200,20,c
11,Cesar,1159000,16,e
7,Caldas,179600,12,c
11,Cesar,507400,19,c
24,Quindio,353600,29,c
27,Santander,616600,1,a
6,Boyaca,809600,18,e
28,Sucre,578000,8,a
22,Norte de Santander,717400,28,d
15,Guainia,1554200,11,a
29,Tolima,903600,24,e
5,Bolivar,917600,16,d
12,Choco,1114200,2,c
8,Caqueta,195600,7,d
28,Sucre,1069400,14,e
18,La Guajira,342800,25,d
22,Norte de Santander,1466000,1,b
5,Bolivar,1939400,2,c
12,Choco,654200,25,b
13,Cordoba,1953800,20,a
14,Cundinamarca,34000,9,c
7,Caldas,48600,12,a
14,Cundinamarca,1693200,6,d
17,Huila,1364200,16,a
12,Choco,241800,12,a
6,Boyaca,1073200,28,e
8,Caqueta,757800,30,c
8,Caqueta,1213600,22,b
25,Risaralda,1609400,4,b
21,Narino,1334400,26,e
3,Arauca,974200,25,a
16,Guaviare,1760400,2,b
2,Antioquia,884400,0,d
12,Choco,175400,17,d
1,Amazonas,1940600,9,d
21,Narino,1531400,28,a
30,Valle del Cauca,21600,7,d
22,Norte de Santander,1137200,19,b
24,Quindio,1914200,25,b
4,Atlantico,1068800,16,d
5,Bolivar,1820000,29,a
17,Huila,504600,8,e
8,Caqueta,1047400,11,d
30,Valle del Cauca,682200,27,d
30,Valle del Cauca,1361200,29,c
15,Guainia,1135000,18,c
23,Putumayo,934200,21,b
25,Risaralda,302000,28,e
17,Huila,1109200,29,e
14,Cundinamarca,62200,13,d
20,Meta,1479200,8,c
11,Cesar,1131600,5,a
31,Vaupes,1762200,4,e
20,Meta,1268000,1,e
6,Boyaca,270200,12,c
8,Caqueta,57800,15,a
5,Bolivar,524600,0,d
15,Guainia,1700600,8,b
18,La Guajira,189000,28,e
6,Boyaca,670200,22,e
10,Cauca,1242600,24,b
24,Quindio,992400,13,a
24,Quindio,741200,30,e
6,Boyaca,1770600,30,e
9,Casanare,522600,6,c
22,Norte de Santander,1100200,23,c
32,Vichada,519400,7,e
16,Guaviare,192800,17,a
20,Meta,278000,28,c
22,Norte de Santander,556000,8,a
15,Guainia,522200,23,b
10,Cauca,743800,9,a
9,Casanare,1936200,4,a
21,Narino,1262600,13,e
2,Antioquia,682000,20,b
18,La Guajira,759000,17,d
9,Casanare,1318600,17,a
17,Huila,1240200,17,e
26,San Andres y Providencia,1496600,12,b
25,Risaralda,1785000,20,e
16,Guaviare,1894200,8,a
22,Norte de Santander,1854200,15,a
26,San Andres y Providencia,1242400,5,d
4,Atlantico,1458600,17,b
9,Casanare,799600,7,a
13,Cordoba,1950000,1,e
18,La Guajira,1397200,5,e
8,Caqueta,424800,5,e
22,Norte de Santander,1220200,16,b
8,Caqueta,710200,7,e
12,Choco,337800,27,a
21,Narino,1416200,6,c
18,La Guajira,248800,27,d
10,Cauca,859000,10,c
18,La Guajira,61600,22,d
26,San Andres y Providencia,1031000,23,b
15,Guainia,430600,13,e
4,Atlantico,1244600,5,b
22,Norte de Santander,579600,8,d
12,Choco,156400,5,e
10,Cauca,176600,18,a
25,Risaralda,1130600,15,c
12,Choco,1879200,13,e
23,Putumayo,1367200,2,d
6,Boyaca,774800,23,d
16,Guaviare,942800,4,b
27,Santander,1821200,0,c
3,Arauca,1424000,1,b
18,La Guajira,1844400,12,b
7,Caldas,427400,2,a
3,Arauca,1095600,15,d
12,Choco,1917600,18,c
8,Caqueta,1943400,27,b
11,Cesar,1037800,25,d
7,Caldas,583000,13,a
2,Antioquia,1660600,4,b
16,Guaviare,155800,17,e
2,Antioquia,542800,1,c
30,Valle del Cauca,1226800,30,e
9,Casanare,1657200,7,e
25,Risaralda,1898400,17,b
22,Norte de Santander,57000,13,b
15,Guainia,748000,9,c
27,Santander,1389800,20,a
2,Antioquia,630800,5,c
11,Cesar,1179000,3,e
31,Vaupes,511800,21,b
4,Atlantico,1185000,8,a
11,Cesar,840600,8,b
1,Amazonas,783200,5,c
26,San Andres y Providencia,1896600,3,c
29,Tolima,1355600,29,e
31,Vaupes,1703400,18,e
11,Cesar,855400,20,d
15,Guainia,208800,6,a
30,Valle del Cauca,1803800,9,e
32,Vichada,452800,8,b
22,Norte de Santander,1131600,16,e
6,Boyaca,926200,8,c
22,Norte de Santander,1085800,27,e
26,San Andres y Providencia,412600,14,e
20,Meta,1769400,12,c
20,Meta,1723400,13,d
11,Cesar,1865000,25,b
29,Tolima,623600,21,c
22,Norte de Santander,176000,12,c
12,Choco,1202400,1,e
18,La Guajira,1676800,14,c
4,Atlantico,1316800,2,b
4,Atlantico,649800,30,b
31,Vaupes,1441600,1,b
22,Norte de Santander,1316800,27,e
2,Antioquia,1791200,13,b
3,Arauca,1045200,25,b
29,Tolima,975000,23,a
18,La Guajira,1762200,21,d
8,Caqueta,388200,22,e
15,Guainia,1155200,14,a
10,Cauca,1019200,18,a
24,Quindio,97200,3,d
17,Huila,1233600,7,b
20,Meta,1198400,0,a
10,Cauca,843400,22,e
2,Antioquia,1766600,25,a
29,Tolima,1936800,16,e
20,Meta,1919200,17,a
29,Tolima,871000,26,a
17,Huila,729800,11,a
25,Risaralda,1983400,8,d
6,Boyaca,99400,19,e
1,Amazonas,1263400,14,d
29,Tolima,1712400,10,c
2,Antioquia,864200,26,d
26,San Andres y Providencia,682400,15,c
32,Vichada,1195800,23,e
5,Bolivar,451800,23,c
7,Caldas,729600,18,c
24,Quindio,1114600,18,e
10,Cauca,1415400,27,c
16,Guaviare,16400,2,c
10,Cauca,1394400,11,e
17,Huila,1937400,29,e
20,Meta,1641800,14,c
10,Cauca,1364000,15,b
19,Magdalena,1259000,17,b
27,Santander,485800,13,d
30,Valle del Cauca,1336800,15,c
13,Cordoba,1957800,10,a
12,Choco,388000,27,e
22,Norte de Santander,1482000,13,a
7,Caldas,1655000,27,c
23,Putumayo,141400,6,b
12,Choco,481400,26,c
1,Amazonas,136600,11,d
13,Cordoba,852600,13,b
16,Guaviare,1832000,14,e
7,Caldas,987200,11,e
23,Putumayo,1999600,0,c
21,Narino,779000,6,a
1,Amazonas,1117200,27,a
20,Meta,355600,19,d
16,Guaviare,582800,0,b
18,La Guajira,284600,15,a
19,Magdalena,394600,12,c
17,Huila,1884400,15,c
32,Vichada,1311400,25,e
32,Vichada,1115400,13,b
14,Cundinamarca,1332400,14,b
8,Caqueta,1543200,15,a
26,San Andres y Providencia,1604000,2,c
30,Valle del Cauca,829600,8,e
15,Guainia,594800,25,e
4,Atlantico,1838600,3,d
17,Huila,1465000,18,a
17,Huila,1400800,28,a
6,Boyaca,1789200,8,c
24,Quindio,451800,15,b
12,Choco,1006200,18,c
8,Caqueta,152800,24,d
3,Arauca,1541800,2,b
18,La Guajira,1199000,5,d
2,Antioquia,1622200,30,c
9,Casanare,1791400,9,e
4,Atlantico,1428600,29,c
30,Valle del Cauca,602400,5,b
4,Atlantico,1884400,8,c
25,Risaralda,1802400,17,c
13,Cordoba,1358800,25,e
9,Casanare,266800,22,c
13,Cordoba,1537600,25,e
8,Caqueta,1659000,1,a
6,Boyaca,1564000,21,a
14,Cundinamarca,764000,25,e
7,Caldas,487000,15,c
9,Casanare,692200,4,e
5,Bolivar,1149600,5,d
16,Guaviare,321800,24,d
16,Guaviare,1219400,21,c
10,Cauca,697600,21,a
17,Huila,1393000,16,c
18,La Guajira,1627400,6,a
28,Sucre,1547400,0,d
22,Norte de Santander,1091600,0,b
12,Choco,913600,10,e
26,San Andres y Providencia,732600,29,c
7,Caldas,1842400,5,b
26,San Andres y Providencia,117400,22,b
25,Risaralda,444400,19,e
32,Vichada,515800,8,b
26,San Andres y Providencia,1458600,21,d
6,Boyaca,1004200,18,e
22,Norte de Santander,1617000,30,a
6,Boyaca,50400,7,e
13,Cordoba,976000,30,d
29,Tolima,1404200,15,e
8,Caqueta,845200,21,a
7,Caldas,1691800,23,c
8,Caqueta,610800,16,a
13,Cordoba,1890400,23,c
17,Huila,245000,18,b
12,Choco,565000,4,b
24,Quindio,1239800,15,b
16,Guaviare,41200,9,b
2,Antioquia,1479400,24,a
18,La Guajira,602000,21,d
31,Vaupes,1014800,27,e
9,Casanare,1294400,0,e
6,Boyaca,185600,12,b
7,Caldas,1114200,22,a
5,Bolivar,1828800,25,d
7,Caldas,58600,3,b
5,Bolivar,525000,6,c
21,Narino,1888200,4,c
21,Narino,1328800,27,a
5,Bolivar,593000,23,a
12,Choco,666400,18,b
31,Vaupes,1996800,11,d
24,Quindio,1015200,30,c
10,Cauca,1951200,29,e
22,Norte de Santander,1199000,29,a
25,Risaralda,238400,13,c
15,Guainia,852200,28,e
10,Cauca,552800,21,e
29,Tolima,206200,7,d
19,Magdalena,32600,13,e
21,Narino,1563800,14,d
24,Quindio,1116400,27,d
24,Quindio,565800,23,e
31,Vaupes,1687400,25,d
22,Norte de Santander,946600,26,b
25,Risaralda,1113800,22,d
5,Bolivar,1242800,20,e
16,Guaviare,1083800,18,d
1,Amazonas,835800,9,e
17,Huila,185400,5,c
29,Tolima,1477400,3,e
3,Arauca,1274000,2,c
32,Vichada,956400,8,a
28,Sucre,1961000,23,b
6,Boyaca,314400,12,e
12,Choco,580800,7,a
7,Caldas,632800,10,a
6,Boyaca,1637800,11,b
10,Cauca,1794600,30,c
